Reference, Quantity, Value, Footprint
BT1 ,1,Battery_Cell,2479_battery_holder:2479
C1 C2 ,2,.1uF,Resistors_SMD:R_1206_3216Metric
D1 D2 ,2,SunLED_RGB_ReverseMount,sunled:XZMDKCBDDG45S-9
D10 D11 D12 ,3,Yellow LED,sunled:XZMYK45WT-9
D4 D9 ,2,Blue LED,sunled:XZFBB45S-9
D3 D5 ,2,White LED,aerospace_badge:led_in-s124ar
D6 D7 ,2,Green LED,sunled:XZM2CRK45WT-9
D8 ,1,Red LED,sunled:XZDGK45WT-9
J1 ,1,AVR-ISP-6,aerospace_badge:AVR-ISP-6
P1 ,1,SerialConnector,aerospace_badge:serialConnector
Q1 ,1,2N3904,aerospace_badge:SOT-23-NPN
R13 ,1,1K,Resistors_SMD:R_1206_3216Metric
R1 R2 R3 R4 R5 R6 R8 R10 R11 R14 R15 R16 R17 R18 R19 R20 ,16,330,Resistors_SMD:R_1206_3216Metric
R7 R9 R12 ,3,10K,Resistors_SMD:R_1206_3216Metric
S1 ,1,OpenConnections,aerospace_badge:artboard_smooth2
SW1 ,1,SW_SPDT,aerospace_badge:switch_JS202011SCQN
U1 ,1,ATmega8-16AU,digikey-footprints:TQFP-32_7x7mm
